"","state","date","total_cases","total_deaths","new_cases","new_deaths"
"1","California",2021-03-01,2401954,36688,2059,137
"2","California",2021-03-02,2404625,36878,2671,190
"3","California",2021-03-03,2407418,37075,2793,197
"4","California",2021-03-04,2410903,37353,3485,278
"5","California",2021-03-05,2414296,37669,3393,316
"6","California",2021-03-06,2417262,37901,2966,232
"7","California",2021-03-07,2418874,37991,1612,90
"8","California",2021-03-08,2420837,38090,1963,99
"9","California",2021-03-09,2423229,38262,2392,172
"10","California",2021-03-10,2425442,38445,2213,183
"11","California",2021-03-11,2427641,38614,2199,169
"12","California",2021-03-12,2428239,38732,598,118
"13","California",2021-03-13,2431048,39566,2809,834
"14","California",2021-03-14,2432264,39690,1216,124
"15","California",2021-03-15,2433612,39757,1348,67
"16","California",2021-03-16,2434438,39847,826,90
"17","California",2021-03-17,2436319,40015,1881,168
"18","California",2021-03-18,2438238,40184,1919,169
"19","California",2021-03-19,2439912,40320,1674,136
"20","California",2021-03-20,2441133,40402,1221,82
"21","California",2021-03-21,2442026,40482,893,80
"22","California",2021-03-22,2443246,40558,1220,76
"23","California",2021-03-23,2444454,40669,1208,111
"24","California",2021-03-24,2445957,40838,1503,169
"25","California",2021-03-25,2447184,40993,1227,155
"26","California",2021-03-26,2448972,41142,1788,149
"27","California",2021-03-27,2450203,41275,1231,133
"28","California",2021-03-28,2451219,41356,1016,81
"29","California",2021-03-29,2452467,41390,1248,34
"30","California",2021-03-30,2453479,41450,1012,60
"31","California",2021-03-31,2455057,41522,1578,72
"32","California",2021-04-01,2456427,41621,1370,99
"33","California",2021-04-02,2458047,41759,1620,138
"34","California",2021-04-03,2459592,41821,1545,62
"35","California",2021-04-04,2460582,41865,990,44
"36","California",2021-04-05,2462153,41897,1571,32
"37","California",2021-04-06,2463077,41943,924,46
"38","California",2021-04-07,2464376,42021,1299,78
"39","California",2021-04-08,2465767,42111,1391,90
"40","California",2021-04-09,2467370,42217,1603,106
"41","California",2021-04-10,2468899,42280,1529,63
"42","California",2021-04-11,2471375,42357,2476,77
"43","California",2021-04-12,2472923,42381,1548,24
"44","California",2021-04-13,2474015,42406,1092,25
"45","California",2021-04-14,2475117,42534,1102,128
"46","California",2021-04-15,2476152,42585,1035,51
"47","California",2021-04-16,2477590,42664,1438,79
"48","California",2021-04-17,2478854,42713,1264,49
"49","California",2021-04-18,2479616,42749,762,36
"50","California",2021-04-19,2480457,42748,841,-1
"51","California",2021-04-20,2481506,42798,1049,50
"52","California",2021-04-21,2482424,42841,918,43
"53","California",2021-04-22,2483548,42901,1124,60
"54","California",2021-04-23,2484575,42946,1027,45
"55","California",2021-04-24,2484315,42973,-260,27
"56","California",2021-04-25,2484981,43004,666,31
"57","California",2021-04-26,2485809,43009,828,5
"58","California",2021-04-27,2486761,43023,952,14
"59","California",2021-04-28,2487451,43062,690,39
"60","California",2021-04-29,2487867,43110,416,48
"61","California",2021-04-30,2488994,43196,1127,86
"62","California",2021-05-01,2489821,43260,827,64
"63","California",2021-05-02,2490485,43309,664,49
"64","California",2021-05-03,2491226,43315,741,6
"65","California",2021-05-04,2492028,43327,802,12
"66","California",2021-05-05,2492652,43355,624,28
"67","California",2021-05-06,2493490,43411,838,56
"68","California",2021-05-07,2494417,43441,927,30
"69","California",2021-05-08,2495100,43479,683,38
"70","California",2021-05-09,2495676,43516,576,37
"71","California",2021-05-10,2496330,43521,654,5
"72","California",2021-05-11,2497116,43537,786,16
"73","California",2021-05-12,2497770,43565,654,28
"74","California",2021-05-13,2498334,43600,564,35
"75","California",2021-05-14,2499535,43628,1201,28
"76","California",2021-05-15,2500365,43650,830,22
"77","California",2021-05-16,2500736,43677,371,27
"78","California",2021-05-17,2501297,43686,561,9
"79","California",2021-05-18,2501766,43694,469,8
"80","California",2021-05-19,2502333,43711,567,17
"81","California",2021-05-20,2502898,43732,565,21
"82","California",2021-05-21,2503481,43767,583,35
"83","California",2021-05-22,2503898,43801,417,34
"84","California",2021-05-23,2504216,43822,318,21
"85","California",2021-05-24,2504649,43832,433,10
"86","California",2021-05-25,2505167,43842,518,10
"87","California",2021-05-26,2505723,43866,556,24
"88","California",2021-05-27,2510276,43979,4553,113
"89","California",2021-05-28,2510969,44006,693,27
"90","California",2021-05-29,2511367,44017,398,11
"91","California",2021-05-30,2511680,44022,313,5
"92","California",2021-05-31,2511910,44024,230,2
"93","California",2021-06-01,2512461,44028,551,4
"94","California",2021-06-02,2512801,44038,340,10
"95","California",2021-06-03,2513191,44056,390,18
"96","California",2021-06-04,2513676,44080,485,24
"97","California",2021-06-05,2514138,44107,462,27
"98","California",2021-06-06,2514546,44130,408,23
"99","California",2021-06-07,2514932,44132,386,2
"100","California",2021-06-08,2515370,44142,438,10
"101","California",2021-06-09,2515812,44160,442,18
"102","California",2021-06-10,2516289,44174,477,14
"103","California",2021-06-11,2516706,44189,417,15
"104","California",2021-06-12,2517024,44195,318,6
"105","California",2021-06-13,2517309,44201,285,6
"106","California",2021-06-14,2517671,44202,362,1
"107","California",2021-06-15,2518071,44207,400,5
"108","California",2021-06-16,2518527,44213,456,6
"109","California",2021-06-17,2518958,44229,431,16
"110","California",2021-06-18,2519422,44247,464,18
"111","California",2021-06-19,2519701,44269,279,22
"112","California",2021-06-20,2520078,44294,377,25
"113","California",2021-06-21,2520488,44298,410,4
"114","California",2021-06-22,2520939,44306,451,8
"115","California",2021-06-23,2521376,44333,437,27
"116","California",2021-06-24,2521835,44365,459,32
"117","California",2021-06-25,2522416,44387,581,22
"118","California",2021-06-26,2522870,44406,454,19
"119","California",2021-06-27,2523317,44435,447,29
"120","California",2021-06-28,2523982,44439,665,4
"121","California",2021-06-29,2524252,44443,270,4
"122","California",2021-06-30,2525027,44467,775,24
"123","California",2021-07-01,2541227,44505,16200,38
"124","California",2021-07-02,2542126,44545,899,40
"125","California",2021-07-03,2542750,44545,624,0
"126","California",2021-07-04,2543205,44545,455,0
"127","California",2021-07-05,2543641,44545,436,0
"128","California",2021-07-06,2544634,44603,993,58
"129","California",2021-07-07,2547133,44633,2499,30
"130","California",2021-07-08,2562453,44676,15320,43
"131","California",2021-07-09,2563786,44724,1333,48
"132","California",2021-07-10,2564210,44724,424,0
"133","California",2021-07-11,2565323,44724,1113,0
"134","California",2021-07-12,2568285,44794,2962,70
"135","California",2021-07-13,2571947,44800,3662,6
"136","California",2021-07-14,2573671,44821,1724,21
"137","California",2021-07-15,2575827,44842,2156,21
"138","California",2021-07-16,2578735,44871,2908,29
"139","California",2021-07-17,2580512,44871,1777,0
"140","California",2021-07-18,2582145,44872,1633,1
"141","California",2021-07-19,2587541,44904,5396,32
"142","California",2021-07-20,2592068,44908,4527,4
"143","California",2021-07-21,2596243,44919,4175,11
"144","California",2021-07-22,2601309,44928,5066,9
"145","California",2021-07-23,2606604,44952,5295,24
"146","California",2021-07-24,2609193,44953,2589,1
"147","California",2021-07-25,2611277,44957,2084,4
"148","California",2021-07-26,2618732,44981,7455,24
"149","California",2021-07-27,2624728,44986,5996,5
"150","California",2021-07-28,2629467,45004,4739,18
"151","California",2021-07-29,2635633,45021,6166,17
"152","California",2021-07-30,2642298,45046,6665,25
"153","California",2021-07-31,2645579,45046,3281,0
"154","California",2021-08-01,2648609,45046,3030,0
"155","California",2021-08-02,2660592,45072,11983,26
"156","California",2021-08-03,2665925,45082,5333,10
"157","California",2021-08-04,2672237,45117,6312,35
